timestamp,engine,ctx_len,past_len,run_id,inference_idx,latency_ms,compute_ms
2026-02-18T21:17:15.256072Z,../engines/gpt2-medium-with-past.plan,27,26,0,0,0.00000,2.32022
2026-02-18T21:17:15.256124Z,../engines/gpt2-medium-with-past.plan,27,26,0,1,0.00000,2.62413
2026-02-18T21:17:15.256137Z,../engines/gpt2-medium-with-past.plan,27,26,0,2,0.00000,2.79875
2026-02-18T21:17:15.256146Z,../engines/gpt2-medium-with-past.plan,27,26,0,3,0.00000,2.32593
2026-02-18T21:17:15.256156Z,../engines/gpt2-medium-with-past.plan,27,26,0,4,0.00000,2.32381
2026-02-18T21:17:15.256165Z,../engines/gpt2-medium-with-past.plan,27,26,0,5,0.00000,2.32243
2026-02-18T21:17:15.256182Z,../engines/gpt2-medium-with-past.plan,27,26,0,6,0.00000,2.32448
2026-02-18T21:17:15.256203Z,../engines/gpt2-medium-with-past.plan,27,26,0,7,0.00000,2.32243
2026-02-18T21:17:15.256215Z,../engines/gpt2-medium-with-past.plan,27,26,0,8,0.00000,2.59686
2026-02-18T21:17:15.256227Z,../engines/gpt2-medium-with-past.plan,27,26,0,9,0.00000,2.80371
2026-02-18T21:17:15.256237Z,../engines/gpt2-medium-with-past.plan,27,26,0,10,0.00000,2.33267
2026-02-18T21:17:15.256246Z,../engines/gpt2-medium-with-past.plan,27,26,0,11,0.00000,2.32317
2026-02-18T21:17:15.256255Z,../engines/gpt2-medium-with-past.plan,27,26,0,12,0.00000,2.32660
2026-02-18T21:17:15.256263Z,../engines/gpt2-medium-with-past.plan,27,26,0,13,0.00000,2.32829
2026-02-18T21:17:15.256272Z,../engines/gpt2-medium-with-past.plan,27,26,0,14,0.00000,2.67056
2026-02-18T21:17:15.256281Z,../engines/gpt2-medium-with-past.plan,27,26,0,15,0.00000,2.79347
2026-02-18T21:17:15.256290Z,../engines/gpt2-medium-with-past.plan,27,26,0,16,0.00000,2.32652
2026-02-18T21:17:15.256298Z,../engines/gpt2-medium-with-past.plan,27,26,0,17,0.00000,2.33002
2026-02-18T21:17:15.256307Z,../engines/gpt2-medium-with-past.plan,27,26,0,18,0.00000,2.32652
2026-02-18T21:17:15.256316Z,../engines/gpt2-medium-with-past.plan,27,26,0,19,0.00000,2.32585
2026-02-18T21:17:15.256325Z,../engines/gpt2-medium-with-past.plan,27,26,0,20,0.00000,2.32707
2026-02-18T21:17:15.256333Z,../engines/gpt2-medium-with-past.plan,27,26,0,21,0.00000,2.34673
2026-02-18T21:17:15.256342Z,../engines/gpt2-medium-with-past.plan,27,26,0,22,0.00000,3.08897
2026-02-18T21:17:15.256351Z,../engines/gpt2-medium-with-past.plan,27,26,0,23,0.00000,2.34036
2026-02-18T21:17:15.256360Z,../engines/gpt2-medium-with-past.plan,27,26,0,24,0.00000,2.33133
2026-02-18T21:17:15.256368Z,../engines/gpt2-medium-with-past.plan,27,26,0,25,0.00000,2.32959
2026-02-18T21:17:15.256377Z,../engines/gpt2-medium-with-past.plan,27,26,0,26,0.00000,2.32980
2026-02-18T21:17:15.256386Z,../engines/gpt2-medium-with-past.plan,27,26,0,27,0.00000,2.32623
2026-02-18T21:17:15.256394Z,../engines/gpt2-medium-with-past.plan,27,26,0,28,0.00000,2.34317
2026-02-18T21:17:15.256403Z,../engines/gpt2-medium-with-past.plan,27,26,0,29,0.00000,2.60883
2026-02-18T21:17:15.256412Z,../engines/gpt2-medium-with-past.plan,27,26,0,30,0.00000,2.79779
2026-02-18T21:17:15.256420Z,../engines/gpt2-medium-with-past.plan,27,26,0,31,0.00000,2.32562
2026-02-18T21:17:15.256429Z,../engines/gpt2-medium-with-past.plan,27,26,0,32,0.00000,2.32852
2026-02-18T21:17:15.256438Z,../engines/gpt2-medium-with-past.plan,27,26,0,33,0.00000,2.32281
2026-02-18T21:17:15.256451Z,../engines/gpt2-medium-with-past.plan,27,26,0,34,0.00000,2.32651
2026-02-18T21:17:15.256460Z,../engines/gpt2-medium-with-past.plan,27,26,0,35,0.00000,2.58459
2026-02-18T21:17:15.256468Z,../engines/gpt2-medium-with-past.plan,27,26,0,36,0.00000,2.80316
2026-02-18T21:17:15.256477Z,../engines/gpt2-medium-with-past.plan,27,26,0,37,0.00000,2.32367
2026-02-18T21:17:15.256486Z,../engines/gpt2-medium-with-past.plan,27,26,0,38,0.00000,2.33011
2026-02-18T21:17:15.256494Z,../engines/gpt2-medium-with-past.plan,27,26,0,39,0.00000,2.32684
2026-02-18T21:17:15.256503Z,../engines/gpt2-medium-with-past.plan,27,26,0,40,0.00000,2.32452
2026-02-18T21:17:15.256512Z,../engines/gpt2-medium-with-past.plan,27,26,0,41,0.00000,2.32892
2026-02-18T21:17:15.256520Z,../engines/gpt2-medium-with-past.plan,27,26,0,42,0.00000,2.62900
2026-02-18T21:17:15.256529Z,../engines/gpt2-medium-with-past.plan,27,26,0,43,0.00000,2.80167
2026-02-18T21:17:15.256538Z,../engines/gpt2-medium-with-past.plan,27,26,0,44,0.00000,2.33063
2026-02-18T21:17:15.256546Z,../engines/gpt2-medium-with-past.plan,27,26,0,45,0.00000,2.32855
2026-02-18T21:17:15.256555Z,../engines/gpt2-medium-with-past.plan,27,26,0,46,0.00000,2.32855
2026-02-18T21:17:15.256564Z,../engines/gpt2-medium-with-past.plan,27,26,0,47,0.00000,2.33063
2026-02-18T21:17:15.256572Z,../engines/gpt2-medium-with-past.plan,27,26,0,48,0.00000,2.32858
2026-02-18T21:17:15.256581Z,../engines/gpt2-medium-with-past.plan,27,26,0,49,0.00000,3.13235
2026-02-18T21:17:15.256590Z,../engines/gpt2-medium-with-past.plan,27,26,0,50,0.00000,2.33029
2026-02-18T21:17:15.256598Z,../engines/gpt2-medium-with-past.plan,27,26,0,51,0.00000,2.32999
2026-02-18T21:17:15.256607Z,../engines/gpt2-medium-with-past.plan,27,26,0,52,0.00000,2.32693
2026-02-18T21:17:15.256616Z,../engines/gpt2-medium-with-past.plan,27,26,0,53,0.00000,2.32773
2026-02-18T21:17:15.256624Z,../engines/gpt2-medium-with-past.plan,27,26,0,54,0.00000,2.32498
